htid	recordid	OCLC	LOCnum	author	imprint	datetype	startdate	enddate	textdate	place	enumcron	materialtype	subjects	genres	title	enum_start_date	enum_end_date	inferred_date	filter_status
nyp.33433082453436	37940	625338	<blank>	Savary,	London;Printed for G. G. J. and J. Robinson;1787.	s	1787	    	1787	enk	v. 1	monograph	Egypt;Description and travel	NotFiction;Bibliographies	Letters on Egypt			0	for-date
nyp.33433023683364	8605182	13493306	HG1567.H8	Horsley, William,	London;W. Owen;1753.	s	1753	    	1753	enk	<blank>	monograph	Banks and banking;Commerce;Money	NotFiction	The universal merchant: containing the rationale of commerce, in theory and practice;			0	for-date
njp.32101067567451	8959918	41182988	<blank>	Pope, Alexander,	London;printed for B. Law, J. Johnson, C. Dilly ... [et al.;1797.	s	1797	    	1797	enk	v.4	monograph	Howard Collection	NotFiction	The works of Alexander Pope, esq			0	for-date
mdp.39015059901135	1907834	23622311	<blank>	Johnson, Samuel,	London;Printed for C. Bathurst [etc.;1779-80.	m	1779	1780	1779-1780	enk	v.53	monograph	English poetry	UnknownGenre	The works of the English poets;			0	for-date
mdp.39015059747454	1994280	2887424	<blank>	Watson, Richard,	London;Printed for T. Evans;1787-88.	m	1787	1788	1787-1788	enk	v.4	monograph	Chemistry	UnknownGenre	Chemical essays			0	for-date
njp.32101037638218	9471345	4323000	<blank>	Irwin, Eyles,	London;Printed for J. Dodsley;1787.	s	1787	    	1787	enk	v.1	monograph	Egypt;Description and travel;Voyages and travels;Arabian Peninsula	NotFiction	A series of adventures in the course of a voyage up the Red-Sea			0	for-date
uc2.ark:/13960/t8kd25p44	7698162	1829756	<blank>	<blank>	Philadelphia;Printed by Thomas Dobson, at the Stone house, no 41, South Second street;1798.	s	1798	    	1798	pau	v.08	monograph	Encyclopedias and dictionaries	NotFiction	Encyclopaedia; or, A dictionary of arts, sciences, and miscellaneous literature; constructed on a plan, by which the different sciences and arts are digested into the form of distinct treatises of systems			0	for-date
mdp.39015032856018	1903596	5329875	<blank>	Kotzebue, August von,	New York;S. Stephens;1800.	s	1800	    	1800	nyu	v.2	monograph	<blank>	UnknownGenre	The dramatic works of Baron Kotzebue			1800	ok
pst.000006714710	7025710	81824089	<blank>	Smollett, T.	Edinburgh;Mundell;1800.	s	1800	    	1800	xx 	v.3	monograph	<blank>	NotFiction	Miscellaneous works			1800	ok
uiuo.ark:/13960/t22b9fd31	8719345	17246204	<blank>	Craufurd, George.	Rotterdam;Printed by W. Locke and Co. on the Spanish Quay;1803.	s	1803	    	1803	ne 	v.7	monograph	Finance, Public;Money	NotFiction	The doctrine of equivalents, or, An explanation of the nature, the value and the power of money : together with their application in organising public finance			1803	ok
yale.39002040677958	8730310	6454753	<blank>	Eamer, John,	London;1805.	s	1805	    	1805	enk	<blank>	monograph	Great Britain;Court-martial (Eamer : 1805);Trials (Military offenses);Army	NotFiction	Colonel Sir John Eamer's defence			1805	ok
nyp.33433075893804	7689509	560260	DA677.L3	Lambert, B.	London;Printed for T. Hughes and M. Jones by Dewick and Clarke;1806.	 	1806	    	1806	   	v. 1	monograph	History;London (England)	UnknownGenre	The history and survey of London and its environs from the earliest period to the present time			1806	ok
njp.32101063057655	8916069	79600230	<blank>	Shakespeare, William,	London;J. Nichols;1811.	s	1811	    	1811	enk	v.6	monograph	<blank>	NotFiction	The plays of William Shakspeare			1811	ok
hvd.hn5ib3	9707229	2788193	PR3301 	Addison, Joseph,	N. Y.;William Durell & co.;1811.	s	1811	    	1811	nyu	v.6	monograph	<blank>	NotFiction	The works of the Right Honorable Joseph Addison			1811	ok
loc.ark:/13960/t4qj7vc6r	11209466	<blank>	E286.N6 1811S	Sedgwick, Robert,	New-York: Printed by Largin & Thompson;no. 5 Burling slip.;1811.	s	1811	    	1811	xx 	<blank>	monograph	Fourth of July orations. [from old catalog];United States;1809-1817;Politics and government	NotFiction	An oration delivered before the Washington benevolent society, at Washington hall, in the city of New-York, on the Fourth of July, 1811			1811	ok
uc2.ark:/13960/t9f47z12b	291035	1750936	E14.A36	Alcedo, Antonio de,	London;Printed for J. Carpenter; [etc., etc.;1812-15.	m	1812	1815	1812-1815	enk	v.1	monograph	America;Latin America;Gazetteers;Maps	NotFiction	The geographical and historical dictionary of America and the West Indies			1812	ok
nyp.33433081561320	8687131	6002208	DG207.T2M8 1813a	Tacitus, Cornelius.	Philadelphia;Published by Edward Earle. William Fry, Printer.;1813.	s	1813	    	1813	pau	v.6	monograph	Rome;Empire, 30 B.C.-284 A.D;History	ContainsBiogMaterial;NotFiction	The works of Cornelius Tacitus;			1813	ok
njp.32101057762039	8904628	23060367	<blank>	Hubbard, John,	Barnard (Vt.);Published by Joseph Dix. I.H. Carpenter, printer.;1814.	s	1814	    	1814	vtu	<blank>	monograph	Geography;Textbooks;1800-1870	NotFiction	The rudiments of geography			1814	ok
uc1.$b554264	8861892	7639791	<blank>	Guthrie, William,	Philadelphia;Johnson and Warner;1815.	s	1815	    	1815	pau	v. 2	monograph	Geography	NotFiction	A new geographical, historical, and commercial grammar			1815	ok
nyp.33433076040405	8655775	7654017	<blank>	Thomas, Joseph,	Winchester, Va.;J. Foster;1816.	s	1816	    	1816	vau	<blank>	monograph	American poetry	Poetry	A poetical descant on the primeval and present state of mankind; or, The pilgrim's muse			1816	ok
mdp.39015082485437	1461832	17474194	AE5.E45	<blank>	London;B. Fellowes; [etc., etc.;1817-]45.	m	1817	1845	1817	enk	v.11	monograph	Encyclopedias and dictionaries	NotFiction	Encyclopædia metropolitana;			1817	ok
hvd.hwg1w7	8617137	1456172	DA377.A1W2	Walton, Izaak,	New York;T. Wilson and sons [etc., etc.;1817.	s	1817	    	1817	xx 	<blank>	monograph	1593-1633;Wotton, Henry;1553 or 4-1600;Donne, John;1568-1639;Herbert, George;1572-1631;Sir;Hooker, Richard;Sanderson, Robert;1587-1663	NotFiction	The lives of Dr. John Donne;--Sir Henry Wotton;--Mr. Richard Hooker;--Mr. George Herbert;--and Dr. Robert Sanderson			1817	ok
